access,releaseLocation,editor,doi_a,topic,fk_mag,title,presentationName,releaseDate,FK_author,,,,,,
Audio,"Erickson, Shepherds  Route 1057740437, Tallahassee, AGO 0000",Vodafone,10.2110/379176,medicine,2323-4563,The Microbiome-Gut-Brain axis regulates social cognition & craving in young binge drinkers,The Microbiome-Gut-Brain axis regulates social cognition & craving in young binge drinkers,2023-02-02 17:06:07Z,1,,,,,,
Audio,"CarMax, South Tunnel 366594975, Las Vegas, ISR 0000",Biolife Grup,10.2053/446989,medicine,2323-4563,VPS35 promotes cell proliferation via EGFR recycling and enhances EGFR inhibitors response in gastric cancer,VPS35 promotes cell proliferation via EGFR recycling and enhances EGFR inhibitors response in gastric cancer,2023-02-02 22:18:56Z,2,,,,,,
Audio,"Comodo, Egerton  Crossroad 1855972806, Long Beach, ETH 0000",21st Century Fox,10.5849/01262,medicine,0000-0051,Depressive symptoms among adults in 2018–2019 and during the 2020 COVID-19 pandemic in Italy,Depressive symptoms among adults in 2018–2019 and during the 2020 COVID-19 pandemic in Italy,1993-11-11 07:42:24Z,3,,,,,,
Audio,"Erickson, Arbutus   Way 2090551461, Phoenix, FLK 0000",DynCorp,10.1773/895169,science,2323-4563,"Antimicrobial susceptibility of bacterial isolates from clinical specimens in four Pacific Island countries, 2017–2021","Antimicrobial susceptibility of bacterial isolates from clinical specimens in four Pacific Island countries, 2017–2021",2023-02-02 14:33:47Z,4,,,,,,
Audio,"21st Century Fox, English   Boulevard 678937921, Saint Paul, FIN 0000",Demaco,10.9727/65895,medicine,0000-0019,Electronic cigarette use as an aid to quit smoking in the representative Italian population Passi survey,Electronic cigarette use as an aid to quit smoking in the representative Italian population Passi survey,2018-05-14 15:20:18Z,5,,,,,,
Audio,"It Smart Group, Bermondsey    Grove 1188993908, Milwaukee, ESH 0000",It Smart Group,10.8391/53086,medicine,0000-0027,Using the Italian Surveillance System (Passi) as a model to track health conditions and risk behaviors in Corsica,Using the Italian Surveillance System (Passi) as a model to track health conditions and risk behaviors in Corsica,2008-04-24 01:30:09Z,6,,,,,,
Audio,"Mars, Arlington  Street 1346354374, Laredo, MSR 0000",Vodafone,10.1103/691442,science,2323-4563,Cell-free fetal DNA for genetic evaluation in Copenhagen Pregnancy Loss Study (COPL): a prospective cohort study,Cell-free fetal DNA for genetic evaluation in Copenhagen Pregnancy Loss Study (COPL): a prospective cohort study,2023-02-02 12:39:16Z,7,,,,,,
Digital,"Danone, Rosewood Grove 2013870839, Lisbon, RWA 0000",DynCorp,10.1806/236977,science,0000-0035,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,2019-12-01 19:12:05Z,8,,,,,,
Digital,"Demaco, Chesterfield  Lane 264538357, Bridgeport, BGR 0000",Boeing,10.2817/21390,medicine,0000-0027,"Depressive Symptoms and Behavior-Related Risk Factors, Italian Population-Based Surveillance System","Depressive Symptoms and Behavior-Related Risk Factors, Italian Population-Based Surveillance System",2009-09-06 03:32:53Z,9,,,,,,
Audio,"Team Guard SRL, Coalecroft  Route 702545536, Nashville, ARM 0000",ENEL,10.1746/008154,astrophysics,4732-9483,Simulation of the Solar Energetic Particle Event on 2020 May 29 Observed by Parker Solar Probe,Simulation of the Solar Energetic Particle Event on 2020 May 29 Observed by Parker Solar Probe,2023-02-01 08:40:37Z,10,,,,,,
Paper,"Apple Inc., Coborn  Drive 622968061, Innsbruck, MDG 0000",Telekom,10.1739/935699,science,0000-0108,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,2014-04-15 07:14:04Z,11,,,,,,
Paper,"Comodo, Bempton   Route 1464286765, Worcester, GNB 0000",BuzzFeed,10.1574/187176,medicine,2323-4563,Self-reported infl uenza vaccination uptake in people with chronic diseases: data from Progressi delle Aziende Sanitarie per la Salute in Italia (Passi) ,Self-reported infl uenza vaccination uptake in people with chronic diseases: data from Progressi delle Aziende Sanitarie per la Salute in Italia (Passi) ,1981-08-05 01:56:30Z,12,,,,,,
Audio,"Demaco, Kinglake  Walk 2141411193, Murfreesboro, CHL 0000",ENEL,10.9190/80932,medicind,0000-0507,Application of the varying coefficient model to the behaviour risk factor surveillance data in Italy: a study of changing smoking prevalence among sub-populations,Application of the varying coefficient model to the behaviour risk factor surveillance data in Italy: a study of changing smoking prevalence among sub-populations,2006-03-13 15:38:45Z,13,,,,,,
