manager,access,Issn_M,namem,agmnt,accessmode,year,publicationPeriod,publishingHouse
Chad Ellwood,Digital,0000-0000,Journal of affective disorders ,legal,Digital,1997-07-24 08:44:55Z,Every three months,Team Guard SRL
Bryon Hill,Digital,0000-0019,Preventive medicine ,poetry,Audio,1983-06-15 02:44:58Z,Daily,Erickson
Rowan Windsor,Paper,0000-0027,Prev chronic dis. ,politics,Audio,2007-05-30 15:16:54Z,Every five months,Areon Impex
Callie Blackburn,Paper,0000-0035,Disaster medicine and public health preparedness,medicine,Digital,1988-06-11 17:21:55Z,Every six months,UPC
Ally Andersson,Paper,0000-0043,Annals of epidemiology,medicine,Paper,2015-09-25 00:20:40Z,Weekly,Demaco
Callie Murphy,Audio,0000-0051,Affective disorders,medicine,Paper,2009-03-13 09:35:24Z,Every two months,Amazon.com
Ema Martin,Digital,0000-006X,Eur j epidemiol ,medicine,Paper,2019-07-10 00:06:15Z,Daily,ENEL
Sofia Buckley,Audio,0000-0078,Int j public health,medicine,Digital,2008-06-30 06:50:25Z,Yearly,Erickson
Carl Hunt,Paper,0000-0086 ,La medicina del lavoro,medicine,Digital,2015-01-17 10:44:07Z,Weekly,Mars
David Janes,Digital,0000-0094,Epidemiologia e prevenzione ,medicine,Audio,2003-12-23 08:11:58Z,Monthly,Telekom
Julian Cavanagh,Digital,0000-0108,Bollettino epidemiologico nazionale,medicine,Paper,1987-01-13 20:16:14Z,Every two months,Facebook
Freya Campbell,Audio,0263-0672,Dramatherapy ,theater,Digital,1985-11-25 02:58:07Z,Daily,BuzzFeed
Oliver Harris,Paper,2211-7245,"Dutch journal of applied linguistics 
",linguistic,Audio,1994-09-05 12:56:14Z,Monthly,Demaco
Angela Gordon,Digital,0000-040X,Ann ist super sanità 2021,statistic,Digital,1993-11-01 06:57:37Z,Daily,CarMax
Abdul Andrews,Audio,0000-0507,Bmc public health,medicine,Paper,2016-02-05 18:11:45Z,Daily,Areon Impex
Hank Murray,Audio, 0300-4430 ,Early child development and care,educational,Audio,2015-12-22 03:02:00Z,Monthly,Metro Cash&Carry
Vivian Thompson,Digital,1461-4103,"Environmental archaeology 
",archeology,Audio,1980-06-23 18:41:28Z,Every eight months,21st Century Fox
Callie Cork,Audio,1460-3705,"European journal of comunication 
",comunication,Paper,1988-04-21 10:30:58Z,Weekly,Amazon.com
Elisabeth Knight,Paper,0295-5075,"Europhysics letters 
",physics,Audio,2011-06-18 01:30:47Z,Yearly,Apple Inc.
Danny Wheeler,Audio,0015-8518,"Forum for modern language studies 
",language,Digital,1985-11-03 02:32:39Z,Monthly,UPC
Julius Oliver,Paper,1467-4866,"Geochemical transactions 
",science,Digital,1986-05-17 07:42:42Z,Every six months,Team Guard SRL
Isla Lewin,Paper,1121-2683,"Habitat 
",science,Paper,1995-06-22 07:53:51Z,Weekly,Metro Cash&Carry
Kieth Yang,Audio,0073-0688,"Harvard studies in classical philology 
",philology,Audio,2002-03-30 15:44:22Z,Yearly,Zepter
Enoch Terry,Paper,0144-5340,"History and philosophy of logic 
",history,Digital,2006-04-15 12:26:37Z,Weekly,ENEL
Henry Eagle,Paper,0393-9375,"Human evolution 
",science,Digital,1981-04-12 05:00:43Z,Every two months,DynCorp
Peter Wilkinson,Audio,0537-9989,"IEEE conference publication 
",computer science,Digital,1986-05-20 01:08:38Z,Daily,ENEL
Sadie Goldsmith,Audio,1053-5888,"IEEE signal processing magazine 
",signal_processing,Paper,1981-12-10 13:39:53Z,Yearly,DynCorp
